#OTUID	taxonomy	confidence
05cc202952cecfecf6a48a36ef78f00c	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
05cf373c1db8601958004904c6298c11	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
05d064cafee0020d77d25243abf0a9ab	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
05dc08cca9546e8d8c8f9ae6c076d150	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.85
05e2418457a1481ad6861054a0e32273	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
05feef0fca55fd46fbf8e80da5002723	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
0601912e9c251e3de54c93998155074c	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
0602844829694a383cb531b931e3b080	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.846
06352a49299818eb13e64b7332af35a7	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
0646101d87f79be5dc34ac20d4fb2d71	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.9
0658b790fa4cfafa2ebaa8a8ecdf5d07	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.6
065b99a7cd205956a7e45a4c9a41ae33	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
066a8a8f0ccc437d1340c2416691afb0	k__Metazoa;p__Arthropoda;c__Insecta	1.0
0670e7d774ce2526e13735fadda2ca23	k__Metazoa;p__Arthropoda;c__Insecta	1.0
0682b189839f043271068198d1399bed	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Lycaenidae;g__Phengaris;s__nausithous	0.75
06993db74cd0f9618d11563f89fa834b	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nymphalidae	0.529
06ab5fcc13b463dce827559285345eb0	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
06aba1e22d6da5b7ea348594cd5b9d16	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.6
06b9fb8adf1fe21b9d01a1b655b477ae	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
06c45ef1feaf7361dd9f86e09dbc72ee	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
06da798cc38309098d7d03c5ce981f31	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.75
06dbcfefc9e63226be33935962c4a111	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.7
06de11adb872f196bcab0998fdf09554	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.55
06df2c54412e040cdeb64beae1e86e38	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.95
06e2feae6057156d6fd2d00391773b8c	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.8
06e3943a60a96e004b41d3f052fe5ed8	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera	0.65
